Game, Training Size, Validation Size, Min Error, Mean Error, Max Error
63, 74, 19, 0.10248754564647775, 0.21440169768840192, 0.34538637573218073
64, 84, 22, 0.04760676556635965, 0.15374104521250342, 0.39781640168464555
65, 65, 17, 0.07781007122793177, 0.13939334790664148, 0.36184254586120845
66, 90, 23, 0.09140328774547302, 0.2220806659200982, 0.42459167352089905
67, 78, 20, 0.08257618104530295, 0.18790834073049584, 0.4453336016905192
68, 59, 15, 0.11471821743815108, 0.20363245259803076, 0.3016137144297509
69, 99, 25, 0.11420936707985527, 0.21645448922047425, 0.3676915649814017
70, 112, 28, 0.05618225295102844, 0.2048962577743648, 0.4687437634052783
71, 71, 18, 0.13682163550508275, 0.22929591544499622, 0.31258945731118154
72, 115, 29, 0.10959800578127762, 0.20502005773556123, 0.3655487313896854
73, 81, 21, 0.07549275156136045, 0.20194232715403576, 0.3191110224807911
74, 91, 23, 0.12855232610168216, 0.24285067310841396, 0.3727951376753277
75, 88, 23, 0.10345120986173126, 0.1914102867882022, 0.36090405855091096
76, 112, 28, 0.09587335351358095, 0.19689342558187, 0.33075759526747023
77, 83, 21, 0.10231607343750082, 0.17804945488698323, 0.35942873062852837
78, 71, 18, 0.055048334270537236, 0.1690981255159233, 0.30838200040391306
79, 102, 26, 0.085826548606173, 0.17414470371951382, 0.36071896589037666
80, 79, 20, 0.05290671783206585, 0.1749412127892062, 0.3106942542958711
81, 88, 22, 0.05631056805919016, 0.15639887779142148, 0.42537611246624357
82, 88, 23, 0.04797319518916468, 0.1167254770254729, 0.35919013808244993
83, 92, 23, 0.014698785564407707, 0.15338281824125838, 0.3460117874553274
84, 80, 21, 0.012222394256574537, 0.10888144949018352, 0.3555454106849641
85, 93, 24, 0.02705036169313252, 0.13651880238911016, 0.3327653577295803
86, 83, 21, 0.08162785746650864, 0.17747473197401115, 0.3383724278882104
87, 103, 26, 0.06285425815744106, 0.21268424323742263, 0.41386480382801555
88, 160, 40, 0.07725555314683996, 0.19344345197979157, 0.5386330398412307
89, 104, 27, 0.03394156999941822, 0.1923924442946097, 0.39567800900603306
90, 90, 23, 0.1040399380697416, 0.18476507902001912, 0.3706524613752151
91, 75, 19, 0.08575167573503822, 0.18717203568326599, 0.2981186844129088
92, 97, 25, 0.02136288310724166, 0.1819718881758394, 0.44516608880699
93, 94, 24, 0.050699364141489706, 0.15423068000593243, 0.37671214155928356
94, 76, 20, 0.019898066246461718, 0.13562664064640212, 0.32381574873118046
95, 76, 20, 0.00787237759810705, 0.12716357349272592, 0.30833270434566207
96, 90, 23, 0.055202100088229344, 0.1843656409659083, 0.3686143085160952
97, 100, 25, 0.05121117502431549, 0.14819591106972976, 0.2950191453248249
98, 93, 24, 0.05063426844462959, 0.1720031044802803, 0.3538588078510207
99, 98, 25, 0.061778445362770246, 0.13504848337421932, 0.3288118235650567
100, 86, 22, 0.043052343469701285, 0.1057456084245977, 0.32979307077124265
101, 96, 24, 0.061159885057213176, 0.1708925214822539, 0.33356472583185914
102, 102, 26, 0.05127388150397441, 0.1654136088217661, 0.3301725098338804
103, 78, 20, 0.004780710542911196, 0.16311240494451745, 0.3089439110116971
104, 99, 25, 0.061917301578263445, 0.1701273982263141, 0.309804908656846
105, 96, 24, 0.036903500695886826, 0.1771012761454519, 0.37023810886012665
106, 71, 18, 0.00833626299330012, 0.11978763948740061, 0.25080057535536887
107, 73, 19, 0.02490618335609407, 0.1416431009557304, 0.34615031840663485
108, 120, 31, 0.048846466202290384, 0.13590518627327855, 0.36199111597315037
109, 72, 19, 0.03392378566647132, 0.12641556068443563, 0.34841533950369924
110, 75, 19, 0.014690015945052273, 0.1553785852272409, 0.3425938669575699
111, 79, 20, 0.0008071857019927159, 0.14139529269699583, 0.3037911763777979
112, 72, 18, 0.0012449271404331719, 0.13553340322254231, 0.32474673733571774
113, 100, 26, 0.02166232913382804, 0.13385893013193295, 0.39454754343525095
